location,date,transportation_type,Value,E3_Fiscal measures,E4_International support,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,population_density,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,DayName,weekend_days,is_holiday
Brazil,2020-01-13,driving,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-13,walking,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-14,driving,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-14,walking,106.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-15,driving,100.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-15,walking,104.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-16,driving,101.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-16,walking,99.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-17,driving,113.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-01-17,walking,104.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-01-18,driving,114.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-01-18,walking,101.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-01-19,driving,91.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-01-19,walking,69.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-01-20,driving,97.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-20,walking,97.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-21,driving,98.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-21,walking,105.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-22,driving,97.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-22,walking,102.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-23,driving,98.51,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-23,walking,95.88,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-24,driving,109.53,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-01-24,walking,104.74,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-01-25,driving,111.8,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-01-25,walking,101.07,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-01-26,driving,88.93,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-01-26,walking,69.38,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-01-27,driving,92.86,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-27,walking,98.41,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-01-28,driving,95.19,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-28,walking,102.94,0,0,0,2.08,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
Brazil,2020-01-29,driving,94.85,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-29,walking,101.02,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0
Brazil,2020-01-30,driving,96.31,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-30,walking,100.51,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0
Brazil,2020-01-31,driving,109.54,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-01-31,walking,110.22,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Friday,0,0
Brazil,2020-02-01,driving,109.56,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-02-01,walking,95.63,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0
Brazil,2020-02-02,driving,83.8,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-02-02,walking,65.06,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0
Brazil,2020-02-03,driving,92.5,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-02-03,walking,97.15,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0
Brazil,2020-02-04,driving,92.97,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0
