location,date,transportation_type,Value,E3_Fiscal measures,E4_International support,StringencyIndex,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_smoothed_per_million,reproduction_rate,positive_rate,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,population_density,gdp_per_capita,extreme_poverty,hospital_beds_per_thousand,DayName,weekend_days,is_holiday,floor_month,shift_new_cases,shift_new_deaths,shift_reproduction,shift_positive,shift_vaccination,is_walking
Brazil,2020-01-13,walking,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0,2020-01-01,0,0,0,0,0,1
Brazil,2020-01-14,driving,99.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0,2020-01-01,0,0,0,0,0,0
Brazil,2020-01-18,driving,114.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0,2020-01-01,0,0,0,0,0,0
Brazil,2020-01-18,walking,101.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Saturday,1,0,2020-01-01,0,0,0,0,0,1
Brazil,2020-01-20,driving,97.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0,2020-01-01,0,0,0,0,0,0
Brazil,2020-01-21,driving,98.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0,2020-01-01,0,0,0,0,0,0
Brazil,2020-01-21,walking,105.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tuesday,0,0,2020-01-01,0,0,0,0,0,1
Brazil,2020-01-22,driving,97.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0,2020-01-01,0,0,0,0,0,0
Brazil,2020-01-30,walking,100.51,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0,2020-01-01,0,0,0,0,0,1
Brazil,2020-02-02,driving,83.8,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sunday,1,0,2020-02-01,0,0,0,0,0,0
Brazil,2020-02-05,driving,93.75,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wednesday,0,0,2020-02-01,0,0,0,0,0,0
Brazil,2020-02-10,walking,101.06,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0,2020-02-01,0,0,0,0,0,1
Brazil,2020-02-20,driving,109.38,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thursday,0,0,2020-02-01,0,0,0,0,0,0
Brazil,2020-02-24,driving,102.5,0,0,5.56,5.21,5.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Monday,0,0,2020-02-01,0,0,0,0,0,0
Brazil,2020-02-27,walking,99.98,0,0,5.56,5.21,5.95,0,0.005,0,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Thursday,0,0,2020-02-01,0,0,0,0,0,1
Brazil,2020-03-01,walking,67.92,0,0,5.56,5.21,5.95,0,0.009,0,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Sunday,1,0,2020-03-01,0,0,0,0,0,1
Brazil,2020-03-04,driving,92.18,0,0,11.11,9.11,10.42,0,0.019,0.002,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Wednesday,0,0,2020-03-01,0,0,0,0,0,0
Brazil,2020-03-07,driving,118.71,0,0,11.11,9.11,10.42,0,0.061,0.007,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Saturday,1,0,2020-03-01,0.001,0,0,0,0,0
Brazil,2020-03-07,walking,117.49,0,0,11.11,9.11,10.42,0,0.061,0.007,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Saturday,1,0,2020-03-01,0.001,0,0,0,0,1
Brazil,2020-03-08,driving,82.64,0,0,11.11,9.11,10.42,0,0.094,0.012,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Sunday,1,0,2020-03-01,0.001,0,0,0,0,0
Brazil,2020-03-12,driving,89.66,0,0,28.7,19.01,21.73,0,0.245,0.032,0,0,0,0,0,0,0,25.04,14103.452,3.4,2.2,Thursday,0,0,2020-03-01,0.007,0,0,0,0,0
Brazil,2020-03-22,driving,27.58,10862120914,0,71.76,50,53.57,25,7.273,0.93,0.017,2.56,0,0,0,0,0,25.04,14103.452,3.4,2.2,Sunday,1,0,2020-03-01,0.195,0.001,2.62,0,0,0
Brazil,2020-03-24,walking,27.11,0,0,71.76,50,53.57,25,10.571,1.294,0.03,2.34,0,0,0,0,0,25.04,14103.452,3.4,2.2,Tuesday,0,0,2020-03-01,0.382,0.004,2.67,0,0,1
Brazil,2020-03-26,walking,28.91,0,0,71.76,50,53.57,25,14.043,1.589,0.048,2.19,0,0,0,0,0,25.04,14103.452,3.4,2.2,Thursday,0,0,2020-03-01,0.585,0.01,2.61,0,0,1
Brazil,2020-04-02,driving,45.51,125175000,0,74.54,60.94,62.5,50,37.844,3.4,0.166,1.94,0,0,0,0,0,25.04,14103.452,3.4,2.2,Thursday,0,0,2020-04-01,1.938,0.065,2.1,0,0,0
Brazil,2020-04-04,driving,50.88,0,0,74.54,60.94,62.5,50,48.739,4.339,0.224,1.86,0,0,0,0,0,25.04,14103.452,3.4,2.2,Saturday,1,0,2020-04-01,1.784,0.084,2.04,0,0,0
Brazil,2020-04-04,walking,36.27,0,0,74.54,60.94,62.5,50,48.739,4.339,0.224,1.86,0,0,0,0,0,25.04,14103.452,3.4,2.2,Saturday,1,0,2020-04-01,1.784,0.084,2.04,0,0,1
Brazil,2020-04-05,walking,25.8,0,0,74.54,60.94,62.5,50,52.362,4.62,0.235,1.82,0,0,0,0,0,25.04,14103.452,3.4,2.2,Sunday,1,0,2020-04-01,2.332,0.104,2.02,0,0,1
Brazil,2020-04-06,walking,36.09,0,0,74.54,60.94,62.5,50,57.212,5.096,0.272,1.78,0,0,0,0,0,25.04,14103.452,3.4,2.2,Monday,0,0,2020-04-01,2.878,0.122,1.99,0,0,1
Brazil,2020-04-10,walking,32.17,0,0,74.54,60.94,62.5,50,92.388,7.112,0.469,1.63,0,0,0,0,0,25.04,14103.452,3.4,2.2,Friday,0,1,2020-04-01,4.62,0.235,1.82,0,0,1
Brazil,2020-04-13,walking,37.69,0,0,74.54,64.06,66.07,50,110.228,7.574,0.513,1.56,0,0,0,0,0,25.04,14103.452,3.4,2.2,Monday,0,0,2020-04-01,6.273,0.389,1.71,0,0,1
Brazil,2020-04-17,driving,56.91,113909000,0,74.54,64.06,66.07,50,158.459,9.439,0.729,1.53,0,0,0,0,0,25.04,14103.452,3.4,2.2,Friday,0,0,2020-04-01,7.435,0.495,1.58,0,0,0
